,Must_TSS,Must_pH,Must_TA,Vineyard,AVA,Year,Elevation,Growing.Degree.Days,Precipitation.growing,Latitude,Harvest.date,Sub_AVA,Soil_order,Sol_taxonomic_subgroup,Soil_texture,Soil_temperature_class,Shipment
AS2_2017,22.975,3.61,5.26,AS2,Monterey,2017,180,1846,27.7480008,36.35431348,8/30/17,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,AS2_2017
AV1_2017,23.35,3.6075,4.595,AV1,Mendocino,2017,479,1711,144.5590001,39.0179608,9/12/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,AV1_2017
AV2_2017,23.575,3.8225,4.235,AV2,Mendocino,2017,86,1422,143.4100013,39.13601028,9/25/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,AV2_2017
CRN1_2017,25.2,3.725,4.9425,CRN1,Sonoma,2017,13,1472,76.67000282,38.22539588,8/31/17,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,CRN1_2017
OR1_2017,23.325,3.6025,4.7175,OR1,Willamette Valley,2017,94,1297,284.7319956,45.2940985,10/4/17,Yamhill-Carlton,Alfisols,Ultic Haploxeralfs,fine,Mesic,OR1_2017
OR2_2017,24.175,3.4525,4.9525,OR2,Willamette Valley,2017,134,1245,262.4350047,45.02917405,10/4/17,Eola-Amity Hills,Mollisols,Aquultic Haplexerolls,very-fine,Mesic,OR2_2017
RRV1_2017,25.175,3.5525,4.13,RRV1,Sonoma,2017,38,1707,165.0179932,38.45112809,9/6/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,RRV1_2017
RRV2_2017,26.8,3.6375,3.7,RRV2,Sonoma,2017,167,1681,166.8640036,38.43342304,9/5/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,RRV2_2017
RRV3_2017,22.3,3.5175,4.8175,RRV3,Sonoma,2017,56,1497,131.7949996,38.3440408,9/13/17,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,RRV3_2017
SMV1_2017,23.775,3.7075,5.165,SMV1,Santa Barbara,2017,203,1705,52.10199928,34.86328801,9/4/17,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,SMV1_2017
SMV2_2017,23.175,3.6125,4.9425,SMV2,Santa Barbara,2017,150,1821,47.49800014,34.88541101,9/4/17,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,SMV2_2017
SNC1_2017,26.45,3.5925,4.1925,SNC1,Sonoma,2017,203,1670,156.6319936,38.67871839,9/6/17,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,SNC1_2017
SNC2_2017,23.425,3.4275,5.5175,SNC2,Sonoma,2017,63,1617,81.26300049,38.23837937,8/31/17,Sonoma,Vertisols,Aridic Haploxererts,fine,Thermic,SNC2_2017
SRH1_2017,22.55,3.5975,5.125,SRH1,Santa Barbara,2017,159,1589,34.65800095,34.60883107,9/8/17,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,SRH1_2017
